latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-2.79239,29.22928,300.94,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.76,16.27,N
-2.79226,29.23093,331.93,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,284.17,3.84,N
-2.78808,29.23814,305.45,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.96,29.58,N
-2.78793,29.24014,301.17,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.85,21.78,N
-2.78739,29.23365,334.82,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,296.95,29.58,N
-2.78725,29.23545,335.45,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,290.52,21.78,N
-2.78673,29.22932,367,0.41,0.61,2023-10-08,3,1,VIIRS,h,2.0NRT,287.09,16.27,N
-2.78661,29.23104,367,0.41,0.61,2023-10-08,3,1,VIIRS,h,2.0NRT,289.22,28.98,N
-2.78608,29.2251,315.32,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,284.12,16.27,N
-2.78599,29.22676,329.37,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.91,28.98,N
-2.78539,29.22259,298.55,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,282.15,1.78,N
-2.78106,29.22928,304.17,0.41,0.61,2023-10-08,3,1,VIIRS,n,2.0NRT,283.05,1.4,N
-1.41267,29.20423,356.13,0.39,0.59,2023-10-08,3,1,VIIRS,n,2.0NRT,254.74,10.04,N
-1.41217,29.20089,350.89,0.39,0.59,2023-10-08,3,1,VIIRS,n,2.0NRT,248.46,10.04,N
-1.40724,29.20491,326.54,0.39,0.59,2023-10-08,3,1,VIIRS,n,2.0NRT,253.75,10.04,N
-10.40511,29.9412,306.19,0.59,0.7,2023-10-08,5,1,VIIRS,n,2.0NRT,287.83,2.16,N
