"Product ID",Time,Satellite,F1,X,Y,Latitude,Longitude
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,353,491,535,-11.890320144628,142.70832024884
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,353,492,535,-11.89245303493,142.69940088637
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,348,551,376,-13.419283033113,142.51883160165
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,341,552,376,-13.421421990175,142.5098609034
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,377,552,377,-13.4126102201,142.5076705505
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,327,564,512,-12.248182213883,142.10648562062
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,331,565,512,-12.25029933175,142.09755025738
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,326,1153,83,-17.237783718591,137.67637621929
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,330,1195,724,-11.64696481096,136.02312979973
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,327,1196,724,-11.648889958353,136.014168507
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,356,1196,725,-11.64003721116,136.01220919886
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,320,1259,157,-16.786067211503,136.5560327335
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,324,1259,650,-12.424588548439,135.59313198194
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,358,1260,5,-18.131911887408,136.84640275267
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,360,1260,6,-18.123071380603,136.84442711784
S3A_SL_1_RBT____20231005T125406_20231005T125706_20231006T210436_0179_104_123_5760_PS1_O_NT_004,"2023-10-05 12:54:06",S3A,421,1261,10,-18.089595133798,136.82728503556
